pl_name,hostname,pl_letter,pl_bmasse,pl_bmassj,pl_rade,pl_orbper,st_met,st_teff,st_mass,st_rad,disc_year,discoverymethod
"OGLE-2018-BLG-0740L b","OGLE-2018-BLG-0740L","b",1500.00000000,4.80000000,,5480.00000000000,-0.2400,5912.00,1.000000,,2019,"Microlensing"
"OGLE-TR-132 b","OGLE-TR-132","b",375.02000000,1.18000000,13.45000000,1.68986800000,0.3700,6210.00,1.305000,1.320000,2004,"Transit"
"OGLE-TR-182 b","OGLE-TR-182","b",320.99500000,1.01000000,12.66600000,3.97910000000,0.3700,5924.00,1.140000,1.140000,2007,"Transit"
"OGLE-TR-211 b","OGLE-TR-211","b",327.35100000,1.03000000,15.24400000,3.67724000000,0.1100,6325.00,1.330000,1.640000,2007,"Transit"
"OGLE2-TR-L9 b","OGLE2-TR-L9","b",1430.17500000,4.50000000,18.04600000,2.48553350000,-0.0500,6933.00,1.520000,1.530000,2008,"Transit"
"PH1 b","PH1","b",169.00000000,0.53100000,6.18000000,138.31700000000,0.2100,6407.00,1.528000,1.734000,2012,"Transit"
"PH2 b","PH2","b",87.08498352,0.27400000,9.33708092,282.52542000000,0.0170,5734.00,0.966000,0.949000,2013,"Transit"
"POTS-1 b","POTS-1","b",734.16000000,2.31000000,10.54800000,3.16062960000,-0.0300,4400.00,0.695000,0.588000,2013,"Transit"
"Pr0201 b","Pr0201","b",171.62820000,0.54000000,,4.42640000000,0.1900,6174.00,1.240000,1.150000,2012,"Radial Velocity"
"Pr0211 b","Pr0211","b",597.52040000,1.88000000,,2.14610000000,0.1800,5300.00,0.935000,0.827000,2012,"Radial Velocity"
"Pr0211 c","Pr0211","c",2475.89570000,7.79000000,,4850.00000000000,0.1800,5300.00,0.935000,0.827000,2016,"Radial Velocity"
"Qatar-1 b","Qatar-1","b",411.27202000,1.29400000,12.81188700,1.42002420000,0.1710,5013.00,0.838000,0.803000,2010,"Transit"
"Qatar-10 b","Qatar-10","b",233.92288000,0.73600000,17.29548700,1.64532100000,0.0160,6124.00,1.156000,1.254000,2019,"Transit"
"Qatar-2 b","Qatar-2","b",792.63500000,2.49400000,14.05600000,1.33711647000,0.0200,4645.00,0.743000,0.776000,2011,"Transit"
"Qatar-3 b","Qatar-3","b",1369.84730000,4.31000000,12.28506400,2.50792040000,-0.0410,6007.00,1.145000,1.272000,2017,"Transit"
"Qatar-4 b","Qatar-4","b",1938.76300000,6.10000000,12.72221500,1.80535640000,0.1030,5215.00,0.896000,0.849000,2017,"Transit"
"Qatar-5 b","Qatar-5","b",1373.02560000,4.32000000,12.40836300,2.87923190000,0.3770,5747.00,1.128000,1.076000,2017,"Transit"
"Qatar-6 b","Qatar-6","b",212.31044000,0.66800000,11.90395800,3.50619500000,-0.0250,5052.00,0.822000,0.722000,2017,"Transit"
"Qatar-7 b","Qatar-7","b",597.52040000,1.88000000,19.05530000,2.03204600000,0.2760,6387.00,1.409000,1.564000,2019,"Transit"
"Qatar-8 b","Qatar-8","b",117.91493000,0.37100000,14.40356500,3.71495000000,0.0250,5738.00,1.029000,1.315000,2019,"Transit"
"Qatar-9 b","Qatar-9","b",378.21770000,1.19000000,11.30988100,1.54073100000,0.2520,4309.00,0.719000,0.696000,2019,"Transit"
"Ross 128 b","Ross 128","b",1.40000000,0.00440487,,9.86580000000,-0.0200,3192.00,0.168000,0.196700,2017,"Radial Velocity"
"Ross 176 b","Ross 176","b",4.57000000,0.01437883,1.84000000,5.00663380000,-0.1900,4041.00,0.577000,0.569000,2025,"Transit"
"Ross 508 b","Ross 508","b",4.00000000,0.01258541,,10.77000000000,-0.2000,3071.00,0.177400,0.211300,2022,"Radial Velocity"
"TIC 139270665 b","TIC 139270665","b",147.15455244,0.46300000,7.22979255,23.62400000000,0.1560,5844.00,1.035000,1.016000,2024,"Transit"
"TIC 139270665 c","TIC 139270665","c",1554.18091023,4.89000000,,1010.00000000000,0.1560,5844.00,1.035000,1.016000,2024,"Radial Velocity"
"TIC 147027702 b","TIC 147027702","b",346.43296363,1.09000000,10.92875618,44.40523000000,-0.0800,6410.00,1.406000,2.136000,2026,"Transit"
"TIC 172900988 b","TIC 172900988 Aa","b",942.00000000,2.96386345,11.25000000,200.45200000000,0.3400,6050.00,1.238400,1.384200,2021,"Transit"
"TIC 183374187 b","TIC 183374187","b",177.98390792,0.56000000,14.03364384,5.05907000000,-0.3900,5768.00,0.853000,1.344000,2026,"Transit"
"TIC 237913194 b","TIC 237913194","b",617.22586000,1.94200000,12.52045300,15.16886500000,0.1400,5788.00,1.026000,1.088000,2020,"Transit"
"TIC 241249530 b","TIC 241249530","b",1582.78546686,4.98000000,13.29385111,165.77190000000,0.0900,6166.00,1.271000,1.397000,2024,"Transit"
"TIC 245076932 b","TIC 245076932","b",162.09248757,0.51000000,10.87271128,21.61389000000,0.0200,6130.00,1.117000,1.288000,2026,"Transit"
